Anzahl Random;Number of Records;Geschlecht (group);Befragungsjahr;Schultyp;Alter;Geschlecht;GefallenSchule;AendernSchule;Lieblingsfach;Berufswunsch ;SorgenSchule;SorgenAusbildung;SorgenFamilie;Rassismus
1;1;Maennlich;2009;Gymnasium;11 bis 14 Jahre;Maennlich;Eher nicht gut;weniger Schule;Ein anderes Fach;Verkehr, Logistik;Gefiltert;Gefiltert;Gefiltert;Überhaupt nicht
1;1;Maennlich;2009;Gymnasium;11 bis 14 Jahre;Maennlich;Eher gut;weniger Hausaufgaben;Englisch;keine Angabe;Gefiltert;Gefiltert;Gefiltert;Überhaupt nicht
1;1;Maennlich;2009;Gymnasium;15 bis 17 Jahre;Maennlich;Eher gut;Hitzefrei;Englisch;keine Angabe;Gefiltert;Gefiltert;Gefiltert;Überhaupt nicht
1;1;Weiblich;2009;Gymnasium;11 bis 14 Jahre;Weiblich;Eher gut;Hitzefrei;Englisch;keine Angabe;Gefiltert;Gefiltert;Gefiltert;Überhaupt nicht
1;1;Weiblich;2009;Gymnasium;15 bis 17 Jahre;Weiblich;Sehr gut;Mensa;Ein anderes Fach;keine Angabe;Gefiltert;Gefiltert;Gefiltert;Überhaupt nicht
1;1;Weiblich;2009;Gymnasium;15 bis 17 Jahre;Weiblich;Eher gut;mehr Zusatzangebote;Ein anderes Fach;keine Angabe;Gefiltert;Gefiltert;Gefiltert;Überhaupt nicht
1;1;Weiblich;2009;Gymnasium;15 bis 17 Jahre;Weiblich;Eher gut;Schulzeiten/ Stundenplan;Englisch;Schšnheit, Sport;Nein;Ja;Nein;Überhaupt nicht
1;1;Maennlich;2009;Gymnasium;15 bis 17 Jahre;Maennlich;Sehr gut;Lehrer erneuern/ wechseln;Englisch;keine Angabe;Nein;Nein;Nein;Eher stark
1;1;Weiblich;2009;Gymnasium;11 bis 14 Jahre;Weiblich;Sehr gut;Keine Angaben;Englisch;keine Angabe;Gefiltert;Gefiltert;Gefiltert;Eher nicht
1;1;Weiblich;2009;Gymnasium;15 bis 17 Jahre;Weiblich;Eher gut;Keine Angaben;Englisch;keine Angabe;Nein;Ja;Nein;Eher nicht
1;1;Maennlich;2009;Gymnasium;15 bis 17 Jahre;Maennlich;Eher gut;Rauchproblem;Ein anderes Fach;keine Angabe;Gefiltert;Gefiltert;Gefiltert;Eher nicht
1;1;Maennlich;2009;Gymnasium;15 bis 17 Jahre;Maennlich;Eher gut;Hitzefrei;Ein anderes Fach;keine Angabe;Nein;Ja;Nein;Überhaupt nicht
1;1;Weiblich;2009;Gymnasium;15 bis 17 Jahre;Weiblich;Eher gut;kein Franz_sisch mehr;Englisch;keine Angabe;Nein;Ja;Nein;Eher nicht
1;1;Weiblich;2009;Gymnasium;15 bis 17 Jahre;Weiblich;Eher gut;Hitzefrei;Englisch;keine Angabe;Nein;Nein;Ja;Überhaupt nicht
1;1;Weiblich;2009;Gymnasium;15 bis 17 Jahre;Weiblich;Eher gut;Keine Angaben;Ein anderes Fach;keine Angabe;Gefiltert;Gefiltert;Gefiltert;Überhaupt nicht
1;1;Maennlich;2009;Gymnasium;15 bis 17 Jahre;Maennlich;Eher gut;mehr Sport;Sport;anderes;Nein;Nein;Ja;Eher nicht
1;1;Maennlich;2009;Gymnasium;15 bis 17 Jahre;Maennlich;Eher gut;Gewalt/ Streit verhindern;Mathematik;keine Angabe;Nein;Ja;Nein;Überhaupt nicht
1;1;Maennlich;2009;Gymnasium;15 bis 17 Jahre;Maennlich;Eher gut;Keine Angaben;Ein anderes Fach;keine Angabe;Nein;Ja;Nein;Überhaupt nicht
1;1;Maennlich;2009;Gymnasium;> 18 Jahre;Maennlich;Eher gut;kein Franz_sisch mehr;Sport;Gesundheit;Nein;Ja;Nein;Eher stark
1;1;Maennlich;2009;Gymnasium;15 bis 17 Jahre;Maennlich;Eher gut;Hitzefrei;Englisch;keine Angabe;Gefiltert;Gefiltert;Gefiltert;Überhaupt nicht
1;1;Maennlich;2009;Gymnasium;15 bis 17 Jahre;Maennlich;Eher gut;Hitzefrei;Englisch;keine Angabe;Nein;Ja;Nein;Sehr stark
1;1;Maennlich;2009;Gymnasium;15 bis 17 Jahre;Maennlich;Eher gut;Hitzefrei;Sport;keine Angabe;Gefiltert;Gefiltert;Gefiltert;Sehr stark
1;1;Maennlich;2009;Gymnasium;15 bis 17 Jahre;Maennlich;Eher gut;Hitzefrei;Englisch;keine Angabe;Gefiltert;Gefiltert;Gefiltert;Sehr stark
1;1;Weiblich;2009;Gymnasium;> 18 Jahre;Weiblich;Eher gut;weniger Tests/besser verteilt;Englisch;keine Angabe;Nein;Nein;Ja;Eher stark
1;1;Maennlich;2009;Gymnasium;15 bis 17 Jahre;Maennlich;Eher gut;WCs;Mathematik;Schšnheit, Sport;Gefiltert;Gefiltert;Gefiltert;Eher stark
1;1;Maennlich;2009;Gymnasium;15 bis 17 Jahre;Maennlich;Eher gut;alles;Mathematik;keine Angabe;Gefiltert;Gefiltert;Gefiltert;Überhaupt nicht
1;1;Maennlich;2009;Gymnasium;15 bis 17 Jahre;Maennlich;Eher gut;WCs;Ein anderes Fach;keine Angabe;Ja;Nein;Nein;Überhaupt nicht
1;1;Weiblich;2009;Gymnasium;15 bis 17 Jahre;Weiblich;Eher gut;Pausenplatz;Deutsch;keine Angabe;Nein;Ja;Nein;Eher stark
1;1;Maennlich;2009;Gymnasium;15 bis 17 Jahre;Maennlich;Sehr gut;Keine Angaben;Mathematik;keine Angabe;Gefiltert;Gefiltert;Gefiltert;Eher nicht
1;1;Weiblich;2009;Orientierungsschule;11 bis 14 Jahre;Weiblich;Eher gut;Ferien (mehr und l_nger) (Weihnachtsferien);Sport;Wirtschaft, Verwaltung;Gefiltert;Gefiltert;Gefiltert;Überhaupt nicht
1;1;Maennlich;2009;Orientierungsschule;11 bis 14 Jahre;Maennlich;Sehr gut;Keine Angaben;Mathematik;Schšnheit, Sport;Gefiltert;Gefiltert;Gefiltert;Überhaupt nicht
1;1;Maennlich;2009;Orientierungsschule;11 bis 14 Jahre;Maennlich;Sehr gut;weniger Schule;Englisch;anderes;Gefiltert;Gefiltert;Gefiltert;Keine Angabe
1;1;Weiblich;2009;Orientierungsschule;11 bis 14 Jahre;Weiblich;Eher nicht gut;mehr Sport;Mathematik;keine Angabe;Ja;Nein;Nein;Überhaupt nicht
1;1;Weiblich;2009;Orientierungsschule;11 bis 14 Jahre;Weiblich;Sehr gut;Mensa;Englisch;keine Angabe;Gefiltert;Gefiltert;Gefiltert;Keine Angabe
1;1;Weiblich;2009;Orientierungsschule;11 bis 14 Jahre;Weiblich;Sehr gut;Lehrer erneuern/ wechseln;Englisch;keine Angabe;Gefiltert;Gefiltert;Gefiltert;Keine Angabe
1;1;Weiblich;2009;Orientierungsschule;11 bis 14 Jahre;Weiblich;Eher gut;strenge Regeln;Ein anderes Fach;keine Angabe;Nein;Ja;Ja;Überhaupt nicht
1;1;Weiblich;2009;Orientierungsschule;11 bis 14 Jahre;Weiblich;Eher nicht gut;l_ngere Pausen;Englisch;Gesundheit;Nein;Ja;Ja;Eher nicht
1;1;Weiblich;2009;Orientierungsschule;11 bis 14 Jahre;Weiblich;Eher gut;Keine Angaben;Keine Angabe;Wirtschaft, Verwaltung;Gefiltert;Gefiltert;Gefiltert;Keine Angabe
1;1;Weiblich;2009;Orientierungsschule;11 bis 14 Jahre;Weiblich;Sehr gut;farbigere Schule;Sport;Textilien;Ja;Nein;Ja;Überhaupt nicht
1;1;Weiblich;2009;Orientierungsschule;11 bis 14 Jahre;Weiblich;Eher nicht gut;WCs;Ein anderes Fach;keine Angabe;Gefiltert;Gefiltert;Gefiltert;Überhaupt nicht
1;1;Maennlich;2009;Orientierungsschule;11 bis 14 Jahre;Maennlich;Eher gut;Keine Angaben;Sport;keine Angabe;Nein;Nein;Nein;Sehr stark
1;1;Maennlich;2009;Orientierungsschule;11 bis 14 Jahre;Maennlich;Sehr gut;Mensa;Franz_sisch;keine Angabe;Nein;Nein;Ja;Überhaupt nicht
1;1;Maennlich;2009;Orientierungsschule;11 bis 14 Jahre;Maennlich;Eher nicht gut;anderes;Musik;keine Angabe;Nein;Nein;Nein;Überhaupt nicht
1;1;Weiblich;2009;Orientierungsschule;11 bis 14 Jahre;Weiblich;Eher gut;anderes;Sport;Metall, Maschinen;Ja;Ja;Nein;Keine Angabe
1;1;Maennlich;2009;Orientierungsschule;11 bis 14 Jahre;Maennlich;Eher gut;l_ngere Pausen;Sport;keine Angabe;Nein;Nein;Nein;Überhaupt nicht
1;1;Maennlich;2009;Orientierungsschule;11 bis 14 Jahre;Maennlich;Eher gut;Mensa;Sport;keine Angabe;Gefiltert;Gefiltert;Gefiltert;Eher stark
1;1;Maennlich;2009;Orientierungsschule;11 bis 14 Jahre;Maennlich;Eher gut;gewisse Schulf_cher;Sport;Kultur;Gefiltert;Gefiltert;Gefiltert;Überhaupt nicht
1;1;Maennlich;2009;Orientierungsschule;11 bis 14 Jahre;Maennlich;Eher gut;Pausenplatz;Sport;keine Angabe;Gefiltert;Gefiltert;Gefiltert;Keine Angabe
1;1;Weiblich;2009;Orientierungsschule;11 bis 14 Jahre;Weiblich;Eher gut;weniger Schule;Ein anderes Fach;keine Angabe;Ja;Nein;Nein;Überhaupt nicht
1;1;Maennlich;2009;Orientierungsschule;11 bis 14 Jahre;Maennlich;Keine Angabe;Keine Angaben;Keine Angabe;Wirtschaft, Verwaltung;Gefiltert;Gefiltert;Gefiltert;Keine Angabe
1;1;Weiblich;2009;Orientierungsschule;11 bis 14 Jahre;Weiblich;Sehr gut;weniger Tests/besser verteilt;Ein anderes Fach;keine Angabe;Gefiltert;Gefiltert;Gefiltert;Überhaupt nicht
1;1;Weiblich;2009;Orientierungsschule;11 bis 14 Jahre;Weiblich;Keine Angabe;Keine Angaben;Keine Angabe;Wirtschaft, Verwaltung;Gefiltert;Gefiltert;Gefiltert;Keine Angabe
1;1;Weiblich;2009;Orientierungsschule;11 bis 14 Jahre;Weiblich;Eher gut;Keine Angaben;Sport;keine Angabe;Ja;Ja;Nein;Überhaupt nicht
1;1;Weiblich;2009;Orientierungsschule;11 bis 14 Jahre;Weiblich;Eher gut;Mensa;Sport;keine Angabe;Gefiltert;Gefiltert;Gefiltert;Überhaupt nicht
1;1;Weiblich;2009;Orientierungsschule;11 bis 14 Jahre;Weiblich;Eher gut;Klassenklima/ Umgang in Klasse;Sport;Wirtschaft, Verwaltung;Gefiltert;Gefiltert;Gefiltert;Überhaupt nicht
1;1;Maennlich;2009;Orientierungsschule;11 bis 14 Jahre;Maennlich;Eher gut;farbigere Schule;Sport;keine Angabe;Gefiltert;Gefiltert;Gefiltert;Überhaupt nicht
1;1;Weiblich;2009;Orientierungsschule;11 bis 14 Jahre;Weiblich;Eher gut;nicht so streng;Sport;keine Angabe;Gefiltert;Gefiltert;Gefiltert;Keine Angabe
1;1;Maennlich;2009;Orientierungsschule;11 bis 14 Jahre;Maennlich;Keine Angabe;Keine Angaben;Sport;anderes;Gefiltert;Gefiltert;Gefiltert;Überhaupt nicht
1;1;Maennlich;2009;Orientierungsschule;11 bis 14 Jahre;Maennlich;Keine Angabe;Keine Angaben;Deutsch;Wirtschaft, Verwaltung;Gefiltert;Gefiltert;Gefiltert;Keine Angabe
1;1;Maennlich;2009;Orientierungsschule;11 bis 14 Jahre;Maennlich;Sehr gut;weniger Tests/besser verteilt;Sport;keine Angabe;Gefiltert;Gefiltert;Gefiltert;Überhaupt nicht
1;1;Weiblich;2009;Orientierungsschule;11 bis 14 Jahre;Weiblich;Eher gut;farbigere Schule;Ein anderes Fach;keine Angabe;Ja;Nein;Nein;Überhaupt nicht
1;1;Weiblich;2009;Orientierungsschule;11 bis 14 Jahre;Weiblich;Sehr gut;Hitzefrei;Mathematik;keine Angabe;Gefiltert;Gefiltert;Gefiltert;Überhaupt nicht
1;1;Maennlich;2009;Orientierungsschule;11 bis 14 Jahre;Maennlich;Eher nicht gut;Keine Angaben;Sport;Holz, Innenausbau;Ja;Nein;Nein;Eher nicht
1;1;Maennlich;2009;Orientierungsschule;11 bis 14 Jahre;Maennlich;Eher gut;Klassenklima/ Umgang in Klasse;Sport;keine Angabe;Ja;Ja;Ja;Überhaupt nicht
1;1;Weiblich;2009;Orientierungsschule;11 bis 14 Jahre;Weiblich;Eher gut;ónderungen am Schulhaus (bessere Infrastruktur);Ein anderes Fach;Schšnheit, Sport;Ja;Ja;Nein;Eher nicht
1;1;Weiblich;2009;Orientierungsschule;11 bis 14 Jahre;Weiblich;Keine Angabe;Keine Angaben;Ein anderes Fach;Chemie, Physik;Ja;Nein;Nein;Sehr stark
1;1;Maennlich;2009;Weiterbildungsschule;11 bis 14 Jahre;Maennlich;Sehr gut;anderes;Sport;keine Angabe;Nein;Nein;Ja;Überhaupt nicht
1;1;Maennlich;2009;Weiterbildungsschule;11 bis 14 Jahre;Maennlich;Eher gut;anderes;Keine Angabe;Wirtschaft, Verwaltung;Gefiltert;Gefiltert;Gefiltert;Keine Angabe
1;1;Weiblich;2009;Weiterbildungsschule;11 bis 14 Jahre;Weiblich;Keine Angabe;Keine Angaben;Keine Angabe;Wirtschaft, Verwaltung;Gefiltert;Gefiltert;Gefiltert;Keine Angabe
1;1;Weiblich;2009;Weiterbildungsschule;11 bis 14 Jahre;Weiblich;Sehr gut;weniger Tests/besser verteilt;Deutsch;Wirtschaft, Verwaltung;Gefiltert;Gefiltert;Gefiltert;Keine Angabe
1;1;Weiblich;2009;Weiterbildungsschule;11 bis 14 Jahre;Weiblich;Eher gut;anderes;Keine Angabe;Wirtschaft, Verwaltung;Gefiltert;Gefiltert;Gefiltert;Keine Angabe
1;1;Maennlich;2009;Weiterbildungsschule;11 bis 14 Jahre;Maennlich;Keine Angabe;Keine Angaben;Keine Angabe;Wirtschaft, Verwaltung;Gefiltert;Gefiltert;Gefiltert;Keine Angabe
1;1;Weiblich;2009;Weiterbildungsschule;11 bis 14 Jahre;Weiblich;Keine Angabe;Keine Angaben;Keine Angabe;Wirtschaft, Verwaltung;Gefiltert;Gefiltert;Gefiltert;Keine Angabe
1;1;Maennlich;2009;Weiterbildungsschule;11 bis 14 Jahre;Maennlich;Keine Angabe;Keine Angaben;Keine Angabe;Nahrung;Gefiltert;Gefiltert;Gefiltert;Keine Angabe
1;1;Maennlich;2009;Weiterbildungsschule;11 bis 14 Jahre;Maennlich;Keine Angabe;Keine Angaben;Keine Angabe;Nahrung;Gefiltert;Gefiltert;Gefiltert;Keine Angabe
1;1;Maennlich;2009;Weiterbildungsschule;11 bis 14 Jahre;Maennlich;Eher gut;l_ngere Pausen;Ein anderes Fach;Planung, Konstruktion;Gefiltert;Gefiltert;Gefiltert;Keine Angabe
1;1;Maennlich;2009;Weiterbildungsschule;11 bis 14 Jahre;Maennlich;Sehr gut;nichts;Mathematik;Holz, Innenausbau;Ja;Ja;Ja;Überhaupt nicht
1;1;Weiblich;2009;Weiterbildungsschule;11 bis 14 Jahre;Weiblich;Eher gut;Mensa;Ein anderes Fach;Kultur;Ja;Ja;Nein;Überhaupt nicht
1;1;Maennlich;2009;Weiterbildungsschule;11 bis 14 Jahre;Maennlich;Keine Angabe;Keine Angaben;Keine Angabe;Nahrung;Gefiltert;Gefiltert;Gefiltert;Keine Angabe
1;1;Weiblich;2009;Weiterbildungsschule;11 bis 14 Jahre;Weiblich;Eher gut;farbigere Schule;Ein anderes Fach;keine Angabe;Ja;Nein;Nein;Überhaupt nicht
1;1;Weiblich;2009;Weiterbildungsschule;11 bis 14 Jahre;Weiblich;Eher gut;Keine Angaben;Ein anderes Fach;Bildung, Soziales;Ja;Ja;Nein;Sehr stark
1;1;Weiblich;2009;Weiterbildungsschule;11 bis 14 Jahre;Weiblich;Sehr gut;weniger Tests/besser verteilt;Englisch;Planung, Konstruktion;Nein;Ja;Nein;Überhaupt nicht
1;1;Weiblich;2009;Weiterbildungsschule;15 bis 17 Jahre;Weiblich;Eher gut;eigenes Klassenzimmer;Musik;Schšnheit, Sport;Ja;Nein;Nein;Sehr stark
1;1;Weiblich;2009;Weiterbildungsschule;15 bis 17 Jahre;Weiblich;Sehr gut;Mensa;Musik;Gesundheit;Ja;Ja;Nein;Überhaupt nicht
1;1;Maennlich;2009;Weiterbildungsschule;11 bis 14 Jahre;Maennlich;Sehr gut;nichts;Englisch;Gestaltung, Kunst;Ja;Ja;Nein;Überhaupt nicht
1;1;Weiblich;2009;Weiterbildungsschule;11 bis 14 Jahre;Weiblich;Sehr gut;Keine Angaben;Mathematik;Nahrung;Ja;Ja;Nein;Überhaupt nicht
